City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Awbari,26.5921,12.7805,87.58,12,0,8.72,clear sky
266,Bud,39.447,-86.1758,80.62,90,86,6.93,overcast clouds
267,Pemba,-12.974,40.5178,70.5,94,20,11.5,few clouds
268,Onega,63.9061,38.1404,41.18,82,99,5.79,overcast clouds
269,Dhar,22.6,75.3,71.15,89,99,11.99,overcast clouds
270,Sri Aman,1.2376,111.4621,84.25,79,20,2.3,few clouds
271,Chokurdakh,70.6333,147.9167,35.15,94,100,9.17,overcast clouds
272,Manono,-7.3,27.4167,70.59,83,97,2.77,light rain
273,Tabou,4.423,-7.3528,75.18,88,29,4.32,light rain
274,Kungurtug,50.5994,97.5228,46.69,52,82,1.05,broken clouds
275,Huntington,38.4193,-82.4452,78.87,83,0,8.05,clear sky
276,Clyde River,70.4692,-68.5914,25.03,93,20,9.22,few clouds
277,Inta,66.0317,60.1659,34.47,84,68,21.52,broken clouds
278,Lasa,46.6166,10.7002,47.28,82,24,2.17,few clouds
279,Gornopravdinsk,60.05,69.9,51.06,78,94,11.14,overcast clouds
280,Garowe,8.4054,48.4845,74.77,76,87,16.73,light rain
281,Urengoy,65.9667,78.3667,40.84,78,100,13.27,overcast clouds
282,Havre,49.5833,0.3333,49.77,87,0,4.61,clear sky
283,Lethem,3.3803,-59.7968,79.5,73,58,1.74,heavy intensity rain
284,Takoradi,4.8845,-1.7554,74.1,93,100,5.77,overcast clouds
285,Teya,60.3778,92.6267,46.94,97,100,6.6,overcast clouds
286,Margate,51.3813,1.3862,58.46,69,14,6.67,few clouds
287,Santa Catarina De Tepehuanes,25.35,-105.7333,65.62,77,86,2.62,overcast clouds
288,Hearst,49.6835,-83.6665,43.05,98,100,12.77,overcast clouds
289,Coquimbo,-29.9533,-71.3436,53.33,62,0,9.22,clear sky
290,Ouesso,1.6136,16.0517,69.8,99,100,2.42,overcast clouds
291,Bonavista,48.6499,-53.1147,54.09,83,98,20.74,overcast clouds
292,Saint-Pierre,-21.3393,55.4781,65.88,68,0,5.75,clear sky
293,Neijiang,29.5835,105.0622,66.47,95,100,4.63,overcast clouds
294,Ambilobe,-13.2,49.05,72.25,74,88,3.02,overcast clouds
295,Upernavik,72.7868,-56.1549,30.67,80,45,5.7,scattered clouds
296,Haines Junction,60.7522,-137.5108,58.95,41,100,11.5,overcast clouds
297,Nouadhibou,20.931,-17.0347,75.45,76,61,21.68,light rain
298,Akdepe,42.0551,59.3788,60.89,25,0,5.7,clear sky
299,Raahe,64.6833,24.4833,44.69,91,94,19.17,overcast clouds
